MonitoringRef_ZDE,reflex_lda_id,reflex_lda_nom,reflex_zdl_id,reflex_zdl_nom,reflex_zde_id,reflex_zde_nom,gtfs_stop_id,Lineref,gtfs_line_name,codifligne_line_id,codifligne_line_externalcode,destination_code,codifligne_network_name,gtfs_agency,opendata_date,Dispo,reflex_zde_x,reflex_zde_y,xy,
STIF:StopPoint:Q:21987:,71158,Avenue Émile Zola,42265,Avenue Émile Zola,21987,AVENUE EMILE-ZOLA,StopPoint:59389,STIF:Line::C01380:,10,C01380,100110010:10,-,METRO,METRO,2017-01-03,1,648296.792,6860987.386,48.8468552575, 2.29546695835
STIF:StopPoint:Q:21988:,71147,Boulogne Jean Jaurès,42380,Boulogne Jean Jaurès,21988,BOULOGNE-JEAN-JAURÈS,StopPoint:59398,STIF:Line::C01380:,10,C01380,100110010:10,-,METRO,METRO,2017-01-03,1,644139.339,6860517.593,48.8422834538, 2.23888056516
STIF:StopPoint:Q:21989:,70721,Boulogne Pont de Saint-Cloud,42381,Boulogne Pont de Saint-Cloud,21989,BOULOGNE PONT DE SAINT-CLOUD,StopPoint:59400,STIF:Line::C01380:,10,C01380,100110010:10,-,METRO,METRO,2017-01-03,1,643363.373,6860347.212,48.8406835021, 2.22833113425
STIF:StopPoint:Q:21990:,415852,Hôtel de Ville,415851,Hôtel de Ville,21990,HÔTEL DE VILLE,StopPoint:59639,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,652417.254,6862170.028,48.857808139, 2.35147939061
STIF:StopPoint:Q:21991:,71864,Pyrenées,44580,Pyrenées,21991,PYRÉNÉES,StopPoint:59402,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,654883.56,6863931.0,48.873821757, 2.38490511894
STIF:StopPoint:Q:21992:,71273,Rambuteau,44593,Rambuteau,21992,RAMBUTEAU,StopPoint:59403,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,652554.328,6862545.649,48.8611961648, 2.35330560585
STIF:StopPoint:Q:21993:,71870,Télégraphe,44923,Télégraphe,21993,TÉLÉGRAPHE,StopPoint:59404,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,655896.5,6864112.5,48.8755241131, 2.39869565115
STIF:StopPoint:Q:21994:,71293,Arts et Métiers,42230,Arts et Métiers,21994,ARTS-ET-MÉTIERS,StopPoint:59588,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,652765.26,6863028.583,48.8655546213, 2.3561268517
STIF:StopPoint:Q:21995:,71868,Jourdain,43483,Jourdain,21995,JOURDAIN,StopPoint:59405,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,655210.692,6864087.376,48.8752508476, 2.38934840685
STIF:StopPoint:Q:21996:,71840,Goncourt,43298,Goncourt,21996,GONCOURT (HÔPITAL SAINT-LOUIS),StopPoint:59640,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,653844.71,6863516.21,48.8700180217, 2.37078761391
STIF:StopPoint:Q:21997:,71293,Arts et Métiers,42230,Arts et Métiers,21997,ARTS-ET-MÉTIERS,StopPoint:59642,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,652731.123,6863009.881,48.8653839331, 2.35566361926
STIF:StopPoint:Q:21998:,71853,Belleville,42311,Belleville,21998,BELLEVILLE,StopPoint:59406,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,654285.221,6863727.378,48.8719484325, 2.37676991255
STIF:StopPoint:Q:21999:,71909,Mairie des Lilas,44055,Mairie des Lilas,21999,MAIRIE DES LILAS,StopPoint:59408,STIF:Line::C01381:,11,C01381,100110011:11,-,METRO,METRO,2017-01-03,1,657145.899,6864606.788,48.8800534909, 2.41567937955
STIF:StopPoint:Q:22000:,71092,Saint-Marcel,44875,Saint-Marcel,22000,SAINT-MARCEL,StopPoint:59335,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653079.8,6860020.0,48.8385215708, 2.36074627204
STIF:StopPoint:Q:22001:,71961,Stalingrad,44901,Stalingrad,22001,STALINGRAD,StopPoint:59309,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653607.079,6865090.26,48.8841559935, 2.36737633209
STIF:StopPoint:Q:22002:,73648,Richard Lenoir,44641,Richard Lenoir,22002,RICHARD-LENOIR,StopPoint:59336,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653956.918,6862477.894,48.8606886287, 2.37242972212
STIF:StopPoint:Q:22003:,71989,Porte de Pantin,44521,Porte de Pantin,22003,PORTE DE PANTIN,StopPoint:59551,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,655448.997,6865568.479,48.8885865463, 2.39244192917
STIF:StopPoint:Q:22004:,71637,Quai de la Rapée,44583,Quai de la Rapée,22004,QUAI DE LA RAPÉE,StopPoint:59633,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653540.442,6860844.385,48.8459686677, 2.3669318694
STIF:StopPoint:Q:22005:,71972,Ourcq,44227,Ourcq,22005,OURCQ,StopPoint:59337,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,655024.75,6865387.0,48.8869250681, 2.3866757745
STIF:StopPoint:Q:22006:,71033,Place d'Italie,44371,Place d'Italie,22006,PLACE D'ITALIE,StopPoint:59310,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,652686.294,6859218.553,48.8312853203, 2.35547439978
STIF:StopPoint:Q:22007:,71410,Gare du Nord,422830,Gare du Nord,22007,GARE DU NORD,StopPoint:59270,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,652797.161,6864566.387,48.8793860952, 2.35639082949
STIF:StopPoint:Q:22008:,73621,Bréguet-Sabin,42390,Bréguet-Sabin,22008,BRÉGUET-SABIN,StopPoint:59637,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653833.339,6862043.196,48.8567705858, 2.37079261501
STIF:StopPoint:Q:22009:,71063,Campo Formio,42426,Campo Formio,22009,CAMPO-FORMIO,StopPoint:59339,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,652932.118,6859691.199,48.8355538711, 2.35877067735
STIF:StopPoint:Q:22010:,71743,Bastille,42288,Bastille,22010,BASTILLE,StopPoint:59242,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653712.263,6861668.441,48.8533917508, 2.3691833376
STIF:StopPoint:Q:22011:,71322,Jacques Bonsergent,43417,Jacques Bonsergent,22011,JACQUES-BONSERGENT,StopPoint:59340,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,653097.848,6863598.442,48.8707035641, 2.36059737543
STIF:StopPoint:Q:22012:,71957,Laumière,45581,Laumière,22012,LAUMIÈRE,StopPoint:59636,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,654468.234,6865169.969,48.8849342618, 2.37911018848
STIF:StopPoint:Q:22013:,71359,Gare de l'Est,43138,Gare de l'Est,22013,GARE DE L'EST (VERDUN),StopPoint:59217,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,652932.669,6864279.42,48.8768153948, 2.35827019377
STIF:StopPoint:Q:22014:,72039,Bobigny - Pantin - Raymond Queneau,42344,Bobigny - Pantin - Raymond Queneau,22014,BOBIGNY-PANTIN (RAYMOND QUENEAU),StopPoint:59343,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,657833.166,6866352.959,48.8958016786, 2.42487659888
STIF:StopPoint:Q:22015:,72486,Bobigny Pablo Picasso,42345,Bobigny Pablo Picasso,22015,BOBIGNY-PABLO-PICASSO,StopPoint:59342,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,659645.586,6867601.972,48.9071497434, 2.44947703472
STIF:StopPoint:Q:22016:,72024,Église de Pantin,42949,Église de Pantin,22016,EGLISE DE PANTIN,StopPoint:59344,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,656954.72,6866118.486,48.8936350083, 2.41291948032
STIF:StopPoint:Q:22017:,72004,Hoche,43364,Hoche,22017,HOCHE,StopPoint:59345,STIF:Line::C01375:,5,C01375,100110005:5,-,METRO,METRO,2017-01-03,1,656236.2,6865886.667,48.8915018971, 2.40314408885
STIF:StopPoint:Q:22018:,73636,Réaumur Sébastopol,44600,Réaumur Sébastopol,22018,RÉAUMUR-SÉBASTOPOL,StopPoint:59586,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,652500.117,6863111.763,48.8662831473, 2.35250345946
STIF:StopPoint:Q:22019:,71801,Parmentier,58725,Parmentier,22019,PARMENTIER,StopPoint:59434,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,654133.075,6862985.106,48.8652624897, 2.37477591467
